Id,Name,HordeName,ParentTradeSkillCategoryId,SkillLineId,OrderIndex,Flags
"365","背包","","369","197","20","0"
"366","材料與研究","","369","197","10","0"
"367","其他","","369","197","50","0"
"368","披風","","369","197","45","0"
"369","德拉諾圖樣","","948","2535","950","1"
"372","珠寶設計圖","","816","2524","999","1"
"373","德拉諾設計圖","","807","2519","950","1"
"374","材料與研究","","373","755","10","0"
"375","珠寶強化","","373","755","20","0"
"376","珠寶","","373","755","30","0"
"377","寶石","","373","755","40","0"
"378","其他","","373","755","50","0"
"379","製皮圖樣","","874","2532","999","1"
"380","德拉諾圖樣","","873","2527","950","1"
"381","材料與研究","","380","165","10","0"
"382","皮甲","","380","165","40","0"
"383","鎖甲","","380","165","50","0"
"384","護甲強化","","380","165","30","0"
"385","披風","","380","165","60","0"
"386","背包","","380","165","20","0"
"388","其他","","380","165","70","0"
"389","德拉諾設計圖","","551","2472","950","1"
"390","材料與研究","","389","164","10","0"
"391","物品強化","","389","164","30","0"
"392","護甲","","389","164","40","0"
"393","武器與盾牌","","389","164","50","0"
"394","其他","","389","164","60","0"
"395","古老的設計圖","","0","164","100","0"
"396","德拉諾的藥品","","0","129","10","0"
"397","舊的藥方","","0","129","100","0"
"399","幻象","","0","333","0","0"
"400","戰旗","","369","197","10","0"
"401","其他","","369","197","10","0"
"402","帳篷","","380","165","50","0"
"403","貿易訂單","","0","773","20","0"
"404","移除","","0","333","0","0"
"407","材料與研究","","347","202","0","0"
"408","齒輪消耗品","","347","202","100","0"
"409","材料與研究","","348","333","0","0"
"410","德拉諾銘文學","","761","2509","950","1"
"411","法杖與魔杖","","410","773","500","0"
"412","卡牌","","410","773","400","0"
"413","副手","","410","773","600","0"
"414","材料與研究","","410","773","100","0"
"415","銘文學","","770","2514","999","1"
"416","護目鏡","","347","202","100","0"
"417","機器人","","347","202","300","0"
"418","裝置","","347","202","200","0"
"419","工程學","","720","2506","999","1"
"420","小工具","","410","773","100","0"
"423","轉化","","332","171","200","0"
"424","訓練","","0","164","0","0"
"425","軍團採礦","","1066","2566","940","1"
"426","軍團設計圖","","545","2454","940","1"
"427","護甲","","426","164","40","0"
"428","其他","","426","164","60","0"
"429","材料","","426","164","10","0"
"430","軍團圖樣","","947","2534","940","1"
"431","披風","","430","197","30","0"
"432","訓練","","0","197","0","0"
"433","破碎群島鍊金術","","593","2479","940","1"
"434","戰鬥藥水","","433","171","1","0"
"435","精煉藥劑","","433","171","1","0"
"436","轉化","","433","171","1","0"
"437","輔助藥水","","433","171","1","0"
"438","飾品","","433","171","1","0"
"439","大鍋","","433","171","1","0"
"440","大量研磨","","410","773","101","0"
"443","軍團附魔","","649","2487","940","1"
"444","項鍊附魔","","443","333","30","0"
"445","戒指附魔","","443","333","10","0"
"446","披風附魔","","443","333","20","0"
"447","肩部附魔","","443","333","40","0"
"448","手套附魔","","443","333","50","0"
"449","玩具，寵物與坐騎","","443","333","60","0"
"450","軍團銘文學","","760","2508","940","1"
"451","卡牌","","450","773","100","0"
"453","梵陀符文","","450","773","200","0"
"454","書籍與卷軸","","450","773","400","0"
"455","雕紋 - 惡魔獵人","","415","773","140","0"
"456","軍團草藥學","","1031","2550","940","1"
"459","軍團剝皮","","1047","2558","940","1"
"460","軍團圖樣","","872","2526","940","1"
"461","皮甲","","460","165","40","0"
"462","鎖甲","","460","165","40","0"
"463","其他","","460","165","40","0"
"464","軍團設計圖","","806","2518","940","1"
"465","戒指","","464","755","30","0"
"466","寶石","","464","755","40","0"
"467","其他","","464","755","50","0"
"468","訓練","","0","165","0","0"
"469","軍團工程學","","710","2500","940","1"
"470","護目鏡","","469","202","10","0"
"471","戰鬥工具","","469","202","20","0"
"472","裝置","","469","202","30","0"
"473","玩具、寵物及用具","","469","202","40","0"
"474","機器人","","469","202","50","0"
"475","破碎群島食物","","1014","2542","940","1"
"476","點心","","475","185","10","0"
"477","輕食","","475","185","20","0"
"478","大餐","","475","185","30","0"
"479","佳餚","","475","185","40","0"
"480","筵席","","475","185","50","0"
"481","破碎群島的藥品","","0","129","5","0"
"484","材料準備","","468","165","10","0"
"485","鞣製","","468","165","20","0"
"486","塑造","","468","165","30","0"
"487","縫製","","468","165","40","0"
"488","聖物","","426","164","30","0"
"489","聖物","","469","202","30","0"
"490","聖物","","443","333","60","0"
"491","聖物","","450","773","400","0"
"492","大量研磨","","450","773","101","0"
"495","布甲","","430","197","20","0"
"496","材料","","430","197","10","0"
"497","其他","","430","197","40","0"
"500","幻象","","353","333","1050","0"
"501","幻象","","348","333","600","0"
"505","大量勘探","","464","755","1000","0"
"506","分解","","443","333","0","0"
"507","項鍊","","464","755","35","0"
"509","寵物","","415","773","90","0"
"535","皇冠","","464","755","50","0"
"536","訓練","","0","755","0","0"
"541","庫爾提拉斯鍛造 - 標題","贊達拉鍛造 - 標題","0","164","2","0"
"542","庫爾提拉斯設計圖","贊達拉設計圖","541","2437","1","1"
"545","軍團設計圖 - 標題","","0","164","940","0"
"547","護甲","","542","164","10","0"
"548","武器","","542","164","20","0"
"549","其他","","542","164","30","0"
"550","交易工具","","542","164","999","0"
"551","德拉諾設計圖 - 標題","","0","164","950","0"
"552","熊貓人設計圖 - 標題","","0","164","960","0"
"553","潘達利亞設計圖","","552","2473","960","1"
"554","頭盔","","553","164","30","0"
"555","護肩","","553","164","40","0"
"556","材料","","553","164","10","0"
"557","裝備加工","","553","164","20","0"
"559","胸甲","","553","164","50","0"
"560","護手","","553","164","60","0"
"561","護腕","","553","164","70","0"
"562","腰帶","","553","164","80","0"
"563","多腳","","553","164","90","0"
"564","靴子","","553","164","100","0"
"565","護盾","","553","164","110","0"
"566","武器","","553","164","120","0"
"567","骷髏鑰匙","","553","164","130","0"
"568","大災變設計圖 - 標題","","0","164","970","0"
"569","大災變設計圖","","568","2474","970","1"
"570","護甲","","569","164","30","0"
"571","武器","","569","164","50","0"
"572","材料","","569","164","10","0"
"573","護盾","","569","164","40","0"
"574","裝備加工","","569","164","20","0"
"575","骷髏鑰匙","","569","164","60","0"
"576","北裂境設計圖 - 標題","","0","164","980","0"
"577","北裂境設計圖","","576","2475","980","1"
"578","裝備加工","","577","164","10","0"
"579","護甲","","577","164","20","0"
"580","護盾","","577","164","30","0"
"581","武器","","577","164","40","0"
"582","骷髏鑰匙","","577","164","50","0"
"583","外域設計圖 - 標題","","0","164","990","0"
"584","外域設計圖","","583","2476","990","1"
"585","裝備加工","","584","164","10","0"
"586","護甲","","584","164","20","0"
"588","武器","","584","164","30","0"
"589","艾澤拉斯設計圖 - 標題","","0","164","999","0"
"590","鍛造設計圖","","589","2477","999","1"
"591","庫爾提拉斯鍊金術 - 標題","贊達拉鍊金術 - 標題","0","171","930","0"
"592","庫爾提拉斯鍊金術","贊達拉鍊金術","591","2478","930","1"
"593","破碎群島鍊金術 - 標題","","0","171","940","0"
"594","德拉諾鍊金術 - 標題","","0","171","950","0"
"595","潘達利亞鍊金術 - 標題","","0","171","960","0"
"596","潘達利亞鍊金術","","595","2481","960","1"
"597","大災變鍊金術 - 標題","","0","171","970","0"
"598","大災變鍊金術","","597","2482","970","1"
"599","北裂境鍊金術 - 標題","","0","171","980","0"
"600","北裂境鍊金術","","599","2483","980","1"
"601","外域鍊金術 - 標題","","0","171","990","0"
"602","外域鍊金術","","601","2484","990","1"
"603","艾澤拉斯鍊金術 - 標題","","0","171","999","0"
"604","鍊金術","","603","2485","999","1"
"605","戰鬥藥水","","592","171","10","0"
"606","輔助藥水","","592","171","20","0"
"607","精煉藥劑","","592","171","30","0"
"608","轉化","","592","171","40","0"
"609","飾品","","592","171","50","0"
"610","交易工具","","592","171","999","0"
"611","藥水","","596","171","10","0"
"612","藥劑","","596","171","20","0"
"613","精煉藥劑","","596","171","30","0"
"614","轉化","","596","171","40","0"
"615","飾品","","596","171","50","0"
"616","塗劑","","596","171","60","0"
"617","大鍋","","598","171","5","0"
"618","藥水","","598","171","10","0"
"619","藥劑","","598","171","20","0"
"620","精煉藥劑","","598","171","30","0"
"621","轉化","","598","171","40","0"
"622","飾品","","598","171","50","0"
"623","塗劑","","598","171","60","0"
"624","坐騎","","598","171","70","0"
"625","研究","","600","171","5","0"
"626","藥水","","600","171","10","0"
"627","藥劑","","600","171","20","0"
"628","精煉藥劑","","600","171","30","0"
"629","轉化","","600","171","40","0"
"630","飾品","","600","171","50","0"
"631","塗劑","","600","171","60","0"
"632","大鍋","","602","171","5","0"
"633","藥水","","602","171","10","0"
"634","藥劑","","602","171","20","0"
"635","精煉藥劑","","602","171","30","0"
"636","轉化","","602","171","40","0"
"637","飾品","","602","171","50","0"
"638","藥水","","604","171","10","0"
"639","藥劑","","604","171","20","0"
"640","精煉藥劑","","604","171","30","0"
"641","轉化","","604","171","40","0"
"642","飾品","","604","171","50","0"
"643","塗劑","","604","171","60","0"
"644","材料","","604","171","5","0"
"645","特殊","","604","171","70","0"
"646","庫爾提拉斯附魔 - 標題","贊達拉附魔 - 標題","0","333","930","0"
"647","庫爾提拉斯附魔","贊達拉附魔","646","2486","930","1"
"648","德拉諾附魔 - 標題","","0","333","950","0"
"649","軍團附魔 - 標題","","0","333","940","0"
"650","手套附魔","","647","333","10","0"
"651","戒指附魔","","647","333","20","0"
"652","武器附魔","","647","333","30","0"
"653","幻象","","348","333","1","0"
"654","材料","","656","333","10","0"
"655","潘達利亞附魔 - 標題","","0","333","960","0"
"656","潘達利亞附魔","","655","2489","960","1"
"657","護甲附魔","","656","333","20","0"
"658","武器附魔","","656","333","30","0"
"659","盾牌與副手附魔","","656","333","40","0"
"660","大災變附魔 - 標題","","0","333","970","0"
"661","大災變附魔","","660","2491","970","1"
"662","北裂境附魔 - 標題","","0","333","980","0"
"663","北裂境附魔","","662","2492","980","1"
"664","外域附魔 - 標題","","0","333","990","0"
"665","外域附魔","","664","2493","990","1"
"666","艾澤拉斯附魔 - 標題","","0","333","999","0"
"667","附魔","","666","2494","999","1"
"668","護甲附魔","","661","333","10","0"
"669","武器附魔","","661","333","20","0"
"670","盾牌與副手附魔","","661","333","30","0"
"671","寵物","","661","333","40","0"
"672","材料","","663","333","10","0"
"673","長靴附魔","","663","333","20","0"
"674","手套附魔","","663","333","30","0"
"675","胸部附魔","","663","333","40","0"
"676","披風附魔","","663","333","50","0"
"677","護腕附魔","","663","333","60","0"
"678","武器附魔","","663","333","70","0"
"679","盾牌附魔","","663","333","80","0"
"680","材料","","665","333","10","0"
"681","長靴附魔","","665","333","20","0"
"682","護腕附魔","","665","333","30","0"
"683","胸部附魔","","665","333","40","0"
"684","披風附魔","","665","333","50","0"
"685","手套附魔","","665","333","60","0"
"686","武器附魔","","665","333","70","0"
"687","盾牌附魔","","665","333","80","0"
"688","塗劑","","665","333","90","0"
"689","其他","","665","333","100","0"
"690","長靴附魔","","667","333","10","0"
"691","護腕附魔","","667","333","20","0"
"692","胸部附魔","","667","333","30","0"
"693","披風附魔","","667","333","40","0"
"694","手套附魔","","667","333","50","0"
"695","武器附魔","","667","333","60","0"
"696","盾牌附魔","","667","333","70","0"
"697","手杖","","667","333","1","0"
"698","魔杖","","667","333","80","0"
"699","塗劑","","667","333","90","0"
"700","飾品","","667","333","100","0"
"701","材料","","667","333","5","0"
"702","幻象","","656","333","1","0"
"703","幻象","","661","333","1","0"
"704","幻象","","663","333","1","0"
"705","幻象","","665","333","1","0"
"706","幻象","","667","333","2","0"
"707","材料","","661","333","1","0"
"708","庫爾提拉斯工程學 - 標題","贊達拉工程學 - 標題","0","202","930","0"
"709","庫爾提拉斯工程學","贊達拉工程學","708","2499","930","1"
"710","軍團工程學 - 標題","","0","202","940","0"
"711","德拉諾工程學 - 標題","","0","202","950","0"
"712","潘達利亞工程學 - 標題","","0","202","960","0"
"713","潘達利亞工程學","","712","2502","960","1"
"714","大災變工程學 - 標題","","0","202","970","0"
"715","大災變工程學","","714","2503","970","1"
"716","北裂境工程學 - 標題","","0","202","980","0"
"717","北裂境工程學","","716","2504","980","1"
"718","外域工程學 - 標題","","0","202","990","0"
"719","外域工程學","","718","2505","990","1"
"720","艾澤拉斯工程學 - 標題","","0","202","999","0"
"721","炸彈","","709","202","10","0"
"722","裝置","","709","202","20","0"
"723","武器","","709","202","30","0"
"724","坐騎與寵物","","709","202","50","0"
"725","煙火","","347","202","1100","0"
"726","炸藥","","713","202","10","0"
"727","煙火","","713","202","20","0"
"728","裝置","","713","202","30","0"
"729","材料","","713","202","40","0"
"730","護目鏡","","713","202","50","0"
"731","槍械","","713","202","60","0"
"732","瞄準鏡","","713","202","70","0"
"733","坐騎","","713","202","80","0"
"734","榫輪","","713","202","90","0"
"735","組件","","715","202","10","0"
"736","材料","","715","202","20","0"
"737","炸藥","","715","202","30","0"
"738","護目鏡","","715","202","40","0"
"739","裝置","","715","202","50","0"
"740","武器","","715","202","60","0"
"741","瞄準鏡","","715","202","70","0"
"742","組件","","717","202","10","0"
"743","材料","","717","202","20","0"
"744","炸藥","","717","202","30","0"
"745","護目鏡","","717","202","40","0"
"746","裝置","","717","202","50","0"
"747","武器","","717","202","60","0"
"748","瞄準鏡","","717","202","70","0"
"749","坐騎","","717","202","70","0"
"750","材料","","719","202","10","0"
"751","炸藥","","719","202","20","0"
"752","護目鏡","","719","202","30","0"
"753","裝置","","719","202","40","0"
"754","武器","","719","202","50","0"
"755","瞄準鏡","","719","202","60","0"
"756","坐騎","","719","202","70","0"
"757","煙火","","719","202","80","0"
"758","庫爾提拉斯銘文學 - 標題","贊達拉銘文學 - 標題","0","773","930","0"
"759","庫爾提拉斯銘文學","贊達拉銘文學","758","2507","930","1"
"760","軍團銘文學 - 標題","","0","773","940","0"
"761","德拉諾銘文學 - 標題","","0","773","950","0"
"762","潘達利亞銘文學 - 標題","","0","773","960","0"
"763","潘達利亞銘文學","","762","2510","960","1"
"764","大災變銘文學 - 標題","","0","773","970","0"
"765","大災變銘文學","","764","2511","970","1"
"766","北裂境銘文學 - 標題","","0","773","980","0"
"767","北裂境銘文學","","766","2512","980","1"
"768","外域銘文學 - 標題","","0","773","990","0"
"769","外域銘文學","","768","2513","990","1"
"770","艾澤拉斯銘文學 - 標題","","0","773","999","0"
"771","書籍與卷軸","","759","773","10","0"
"772","合約","","759","773","20","0"
"773","飾品","","759","773","30","0"
"774","副手","","759","773","40","0"
"775","大量研磨","","759","773","50","0"
"776","梵陀符文","","759","773","60","0"
"777","雕紋","","763","773","20","0"
"778","法杖與副手","","763","773","30","0"
"779","墨水","","763","773","10","0"
"780","卡牌","","763","773","40","0"
"781","卷軸與研究","","763","773","50","0"
"782","任務","","763","773","70","0"
"783","玩具與寵物","","763","773","80","0"
"784","飾品","","763","773","35","0"
"785","墨水","","765","773","10","0"
"786","雕紋","","765","773","20","0"
"787","卷軸與研究","","765","773","30","0"
"788","卡牌","","765","773","40","0"
"789","肩膀銘文","","765","773","50","0"
"790","武器與副手","","765","773","60","0"
"791","任務","","765","773","70","0"
"792","玩具","","765","773","80","0"
"793","墨水","","767","773","10","0"
"794","雕紋","","767","773","20","0"
"795","卷軸與研究","","767","773","30","0"
"796","卡牌","","767","773","40","0"
"797","副手","","767","773","50","0"
"798","肩膀銘文","","767","773","60","0"
"799","墨水","","769","773","10","0"
"800","雕紋","","769","773","20","0"
"801","卡牌","","769","773","30","0"
"802","卷軸與研究","","769","773","40","0"
"803","副手","","769","773","50","0"
"804","庫爾提拉斯設計圖 - 標題","贊達拉設計圖 - 標題","0","755","930","0"
"805","庫爾提拉斯設計圖","贊達拉設計圖","804","2517","930","1"
"806","軍團設計圖 - 標題","","0","755","940","0"
"807","德拉諾設計圖 - 標題","","0","755","950","0"
"808","潘達利亞設計圖 - 標題","","0","755","960","0"
"809","潘達利亞設計圖","","808","2520","960","1"
"810","大災變設計圖 - 標題","","0","755","970","0"
"811","大災變設計圖","","810","2521","970","1"
"812","北裂境設計圖 - 標題","","0","755","980","0"
"813","北裂境設計圖","","812","2522","980","1"
"814","外域設計圖 - 標題","","0","755","990","0"
"815","外域設計圖","","814","2523","990","1"
"816","艾澤拉斯設計圖 - 標題","","0","755","999","0"
"817","寶石","","805","755","10","0"
"818","大量勘探","","805","755","20","0"
"819","戒指","","805","755","30","0"
"820","武器","","805","755","40","0"
"821","藍色寶石","","809","755","10","0"
"822","綠色寶石","","809","755","20","0"
"823","橘色寶石","","809","755","30","0"
"824","紫色寶石","","809","755","40","0"
"825","紅色寶石","","809","755","50","0"
"826","紫色寶石","","809","755","60","0"
"827","變換寶石","","809","755","70","0"
"828","項鍊","","809","755","80","0"
"829","戒指","","809","755","90","0"
"830","坐騎","","809","755","100","0"
"831","研究","","809","755","5","0"
"832","玩具與寵物","","809","755","110","0"
"833","黃色寶石","","809","755","65","0"
"834","藍色寶石","","811","755","10","0"
"835","綠色寶石","","811","755","20","0"
"836","橘色寶石","","811","755","30","0"
"837","紫色寶石","","811","755","40","0"
"838","紅色寶石","","811","755","50","0"
"839","黃色寶石","","811","755","60","0"
"840","變換寶石","","811","755","70","0"
"841","項鍊","","811","755","80","0"
"842","戒指","","811","755","90","0"
"843","皇冠","","811","755","100","0"
"844","拳套","","811","755","110","0"
"845","玩具與稜光","","811","755","120","0"
"846","藍色寶石","","813","755","10","0"
"847","綠色寶石","","813","755","20","0"
"848","橘色寶石","","813","755","30","0"
"849","紫色寶石","","813","755","40","0"
"850","紅色寶石","","813","755","50","0"
"851","黃色寶石","","813","755","60","0"
"852","變換寶石","","813","755","70","0"
"853","項鍊","","813","755","80","0"
"854","戒指","","813","755","90","0"
"855","稜彩寶石","","813","755","75","0"
"856","寵物及工藝品","","813","755","100","0"
"857","藍色寶石","","815","755","10","0"
"858","綠色寶石","","815","755","20","0"
"859","橘色寶石","","815","755","30","0"
"860","紫色寶石","","815","755","40","0"
"861","紅色寶石","","815","755","50","0"
"862","黃色寶石","","815","755","60","0"
"863","變換寶石","","815","755","70","0"
"864","項鍊","","815","755","80","0"
"865","戒指","","815","755","90","0"
"866","飾品","","815","755","100","0"
"867","稜光與雕像","","815","755","110","0"
"868","材料","","815","755","5","0"
"869","皇冠","","815","755","95","0"
"870","庫爾提拉斯圖樣 - 標題","贊達拉圖樣 - 標題","0","165","930","0"
"871","庫爾提拉斯圖樣","贊達拉圖樣","870","2525","930","1"
"872","軍團圖樣 - 標題","","0","165","940","0"
"873","德拉諾圖樣 - 標題","","0","165","950","0"
"874","艾澤拉斯圖樣 - 標題","","0","165","999","0"
"875","潘達利亞圖樣 - 標題","","0","165","960","0"
"876","潘達利亞圖樣","","875","2528","960","1"
"877","大災變圖樣 - 標題","","0","165","970","0"
"878","大災變圖樣","","877","2529","970","1"
"879","北裂境圖樣 - 標題","","0","165","980","0"
"880","北裂境圖樣","","879","2530","980","1"
"881","外域圖樣 - 標題","","0","165","990","0"
"882","外域圖樣","","881","2531","990","1"
"883","皮甲","","871","165","10","0"
"884","鎖甲","","871","165","20","0"
"885","武器","","871","165","30","0"
"886","其他","","871","165","40","0"
"887","材料","","876","165","10","0"
"888","浮雕","","876","165","20","0"
"889","護甲片","","876","165","30","0"
"890","背包","","876","165","40","0"
"891","頭盔","","876","165","50","0"
"892","護肩","","876","165","60","0"
"893","胸甲","","876","165","70","0"
"894","護腕","","876","165","80","0"
"895","手套","","876","165","90","0"
"896","腰帶","","876","165","100","0"
"897","褲子","","876","165","110","0"
"898","靴子","","876","165","120","0"
"899","披風","","876","165","130","0"
"900","鼓","","876","165","140","0"
"901","研究","","876","165","150","0"
"902","材料","","878","165","10","0"
"903","護甲片","","878","165","20","0"
"904","背包","","878","165","30","0"
"905","頭盔","","878","165","40","0"
"906","護肩","","878","165","50","0"
"907","胸甲","","878","165","60","0"
"908","護腕","","878","165","70","0"
"909","手套","","878","165","80","0"
"910","腰帶","","878","165","90","0"
"911","褲子","","878","165","100","0"
"912","靴子","","878","165","110","0"
"913","披風","","878","165","120","0"
"914","材料","","880","165","10","0"
"915","護甲片","","880","165","20","0"
"916","背包","","880","165","30","0"
"917","頭盔","","880","165","40","0"
"918","護肩","","880","165","50","0"
"919","胸甲","","880","165","60","0"
"920","護腕","","880","165","70","0"
"921","手套","","880","165","80","0"
