Id,FullName,ShortName,GroupFinderCategoryId,OrderIndex,GroupFinderActivityGrpId,Flags,MinGearLevelSuggestion,PlayerConditionId,MapId,DifficultyId,AreaId,MaxPlayers,DisplayType,OverrideContentTuningId
"31","奧齊頓(英雄)","英雄","2","2","8","99","0","0","1182","2","0","5","1","0"
"32","擎天峰(英雄)","英雄","2","2","9","99","0","0","1209","2","0","5","1","0"
"33","恐軌車站(英雄)","英雄","2","2","10","99","0","0","1208","2","0","5","1","0"
"34","永茂林(英雄)","英雄","2","2","11","99","0","0","1279","2","0","5","1","0"
"35","影月墓地(英雄)","英雄","2","2","12","99","0","0","1176","2","0","5","1","0"
"36","黑石塔上層(英雄)","英雄","2","2","13","99","0","0","1358","2","0","5","1","0"
"37","天槌(普通)","普通","3","0","14","35","0","27290","1228","14","0","30","0","0"
"38","天槌(英雄)","英雄","3","0","14","35","0","27291","1228","15","0","30","0","0"
"39","黑石鑄造場(普通)","普通","3","0","15","35","0","27806","1205","14","0","30","0","0"
"40","黑石鑄造場(英雄)","英雄","3","0","15","35","0","27807","1205","15","0","30","0","0"
"41","圍攻奧格瑪(英雄)","英雄","3","0","1","35","0","0","1136","15","0","30","0","0"
"42","圍攻奧格瑪(傳奇)","傳奇","3","0","1","35","0","0","1136","16","0","20","0","0"
"43","納克薩瑪斯(10人)","10人","3","0","16","35","0","0","533","3","0","10","0","0"
"44","納克薩瑪斯(25人)","25人","3","0","16","35","0","0","533","4","0","25","0","0"
"45","卡拉贊","卡拉贊","3","0","0","35","0","0","532","3","0","10","0","0"
"46","冰冠城塞(普通10人)","普通10人","3","0","17","35","0","0","631","3","0","10","0","0"
"47","冰冠城塞(英雄10人)","英雄10人","3","0","17","35","0","0","631","5","0","10","0","0"
"48","冰冠城塞(普通25人)","普通25人","3","0","17","35","0","0","631","4","0","25","0","0"
"49","冰冠城塞(英雄25人)","英雄25人","3","0","17","35","0","0","631","6","0","25","0","0"
"50","哀嚎洞穴(普通)","哀嚎洞穴","2","0","0","98","0","0","43","1","0","5","1","0"
"51","通靈學院(普通)","普通","2","0","18","98","0","0","1007","1","0","5","1","0"
"52","怒焰裂谷(普通)","怒焰裂谷","2","0","0","98","0","0","389","1","0","5","1","0"
"53","影牙城堡(普通)","普通","2","0","19","98","0","0","33","1","0","5","1","0"
"54","黑澗深淵(普通)","黑澗深淵","2","0","0","98","0","0","48","1","0","5","1","0"
"55","暴風城監獄(普通)","暴風城監獄","2","0","0","98","0","0","34","1","0","5","1","0"
"56","諾姆瑞根(普通)","諾姆瑞根","2","0","0","98","0","0","90","1","0","5","1","0"
"57","剃刀沼澤(普通)","剃刀沼澤","2","0","0","98","0","0","47","1","0","5","1","0"
"58","剃刀高地(普通)","剃刀高地","2","0","0","98","0","0","129","1","0","5","1","0"
"59","奧達曼(普通)","奧達曼","2","0","0","98","0","0","70","1","0","5","1","0"
"60","祖爾法拉克(普通)","祖爾法拉克","2","0","0","98","0","0","209","1","0","5","1","0"
"61","瑪拉頓(普通)","瑪拉頓","2","0","0","98","0","0","349","1","0","5","1","0"
"62","沉沒的神廟(普通)","沉沒的神廟","2","0","0","98","0","0","109","1","0","5","1","0"
"63","黑石深淵(普通)","黑石深淵","2","0","0","98","0","0","230","1","0","5","1","0"
"64","黑石塔下層(普通)","黑石塔下層","2","0","0","98","0","0","229","1","0","5","1","0"
"65","厄運之槌(普通)","厄運之槌","2","0","0","98","0","0","429","1","0","5","1","0"
"66","斯坦索姆(普通)","斯坦索姆","2","0","0","98","0","0","329","1","0","5","1","0"
"67","地獄火壁壘(普通)","普通","2","0","20","98","0","0","543","1","0","5","1","0"
"68","血熔爐(普通)","普通","2","0","21","98","0","0","542","1","0","5","1","0"
"69","破碎大廳(普通)","普通","2","0","22","98","0","0","540","1","0","5","1","0"
"70","奴隸監獄(普通)","普通","2","0","23","98","0","0","547","1","0","5","1","0"
"71","深幽泥沼(普通)","普通","2","0","24","98","0","0","546","1","0","5","1","0"
"72","蒸汽洞窟(普通)","普通","2","0","25","98","0","0","545","1","0","5","1","0"
"73","法力墓地(普通)","普通","2","0","26","98","0","0","557","1","0","5","1","0"
"74","奧奇奈地穴(普通)","普通","2","0","27","98","0","0","558","1","0","5","1","0"
"75","塞司克大廳(普通)","普通","2","0","28","98","0","0","556","1","0","5","1","0"
"76","暗影迷宮(普通)","普通","2","0","29","98","0","0","555","1","0","5","1","0"
"77","血色大廳(普通)","普通","2","0","30","98","0","0","1001","1","0","5","1","0"
"78","血色修道院(普通)","普通","2","0","31","98","0","0","1004","1","0","5","1","0"
"79","逃離敦霍爾德(普通)","普通","2","0","32","98","0","0","560","1","0","5","1","0"
"80","開啟黑暗之門(普通)","普通","2","0","33","98","0","0","269","1","0","5","1","0"
"81","麥克納爾(普通)","普通","2","0","34","98","0","0","554","1","0","5","1","0"
"82","波塔尼卡(普通)","普通","2","0","35","98","0","0","553","1","0","5","1","0"
"83","亞克崔茲(普通)","普通","2","0","36","98","0","0","552","1","0","5","1","0"
"84","奧奇奈地穴(英雄)","英雄","2","0","27","98","0","0","558","2","0","5","1","0"
"85","法力墓地(英雄)","英雄","2","0","26","98","0","0","557","2","0","5","1","0"
"86","塞司克大廳(英雄)","英雄","2","0","28","98","0","0","556","2","0","5","1","0"
"87","暗影迷宮(英雄)","英雄","2","0","29","98","0","0","555","2","0","5","1","0"
"88","開啟黑暗之門(英雄)","英雄","2","0","33","98","0","0","269","2","0","5","1","0"
"89","逃離敦霍爾德(英雄)","英雄","2","0","32","98","0","0","560","2","0","5","1","0"
"90","奴隸監獄(英雄)","英雄","2","0","23","98","0","0","547","2","0","5","1","0"
"91","蒸汽洞窟(英雄)","英雄","2","0","25","98","0","0","545","2","0","5","1","0"
"92","深幽泥沼(英雄)","英雄","2","0","24","98","0","0","546","2","0","5","1","0"
"93","血熔爐(英雄)","英雄","2","0","21","98","0","0","542","2","0","5","1","0"
"94","地獄火壁壘(英雄)","英雄","2","0","20","98","0","0","543","2","0","5","1","0"
"95","破碎大廳(英雄)","英雄","2","0","22","98","0","0","540","2","0","5","1","0"
"96","亞克崔茲(英雄)","英雄","2","0","36","98","0","0","552","2","0","5","1","0"
"97","波塔尼卡(英雄)","英雄","2","0","35","98","0","0","553","2","0","5","1","0"
"98","麥克納爾(英雄)","英雄","2","0","34","98","0","0","554","2","0","5","1","0"
"99","博學者殿堂(普通)","普通","2","0","37","98","0","0","585","1","0","5","1","0"
"100","博學者殿堂(英雄)","英雄","2","0","37","98","0","0","585","2","0","5","1","0"
"101","俄特加德要塞(普通)","普通","2","0","38","98","0","0","574","1","0","5","1","0"
"102","俄特加德之巔(普通)","普通","2","0","39","98","0","0","575","1","0","5","1","0"
"103","阿茲歐-奈幽(普通)","普通","2","0","40","98","0","0","601","1","0","5","1","0"
"104","奧核之眼(普通)","普通","2","0","41","98","0","0","578","1","0","5","1","0"
"105","雷光大廳(普通)","普通","2","0","42","98","0","0","602","1","0","5","1","0"
"106","石之大廳(普通)","普通","2","0","43","98","0","0","599","1","0","5","1","0"
"107","斯坦索姆的抉擇(普通)","普通","2","0","44","98","0","0","595","1","0","5","1","0"
"108","德拉克薩隆要塞(普通)","普通","2","0","45","98","0","0","600","1","0","5","1","0"
"109","剛德拉克(普通)","普通","2","0","46","98","0","0","604","1","0","5","1","0"
"110","安卡罕特：古王國(普通)","普通","2","0","47","98","0","0","619","1","0","5","1","0"
"111","紫羅蘭堡(普通)","普通","2","0","48","98","0","0","608","1","0","5","1","0"
"112","奧核之心(普通)","普通","2","0","49","98","0","0","576","1","0","5","1","0"
"113","勇士試煉(普通)","普通","2","0","50","98","0","0","650","1","0","5","1","0"
"114","眾魂熔爐(普通)","普通","2","0","51","98","0","0","632","1","0","5","1","0"
"115","薩倫之淵(普通)","普通","2","0","52","98","0","0","658","1","0","5","1","0"
"116","倒影大廳(普通)","普通","2","0","53","98","0","0","668","1","0","5","1","0"
"117","俄特加德之巔(英雄)","英雄","2","0","39","98","0","0","575","2","0","5","1","0"
"118","斯坦索姆的抉擇(英雄)","英雄","2","0","44","98","0","0","595","2","0","5","1","0"
"119","奧核之眼(英雄)","英雄","2","0","41","98","0","0","578","2","0","5","1","0"
"120","雷光大廳(英雄)","英雄","2","0","42","98","0","0","602","2","0","5","1","0"
"121","石之大廳(英雄)","英雄","2","0","43","98","0","0","599","2","0","5","1","0"
"122","德拉克薩隆要塞(英雄)","英雄","2","0","45","98","0","0","600","2","0","5","1","0"
"123","剛德拉克(英雄)","英雄","2","0","46","98","0","0","604","2","0","5","1","0"
"124","安卡罕特：古王國(英雄)","英雄","2","0","47","98","0","0","619","2","0","5","1","0"
"125","紫羅蘭堡(英雄)","英雄","2","0","48","98","0","0","608","2","0","5","1","0"
"126","奧核之心(英雄)","英雄","2","0","49","98","0","0","576","2","0","5","1","0"
"127","阿茲歐-奈幽(英雄)","英雄","2","0","40","98","0","0","601","2","0","5","1","0"
"128","俄特加德要塞(英雄)","英雄","2","0","38","98","0","0","574","2","0","5","1","0"
"129","勇士試煉(英雄)","英雄","2","0","50","98","0","0","650","2","0","5","1","0"
"130","眾魂熔爐(英雄)","英雄","2","0","51","98","0","0","632","2","0","5","1","0"
"131","薩倫之淵(英雄)","英雄","2","0","52","98","0","0","658","2","0","5","1","0"
"132","倒影大廳(英雄)","英雄","2","0","53","98","0","0","668","2","0","5","1","0"
"133","海潮王座(普通)","普通","2","0","54","98","0","0","643","1","0","5","1","0"
"134","黑石洞穴(普通)","普通","2","0","55","98","0","0","645","1","0","5","1","0"
"135","格瑞姆巴托(普通)","普通","2","0","56","98","0","0","670","1","0","5","1","0"
"136","起源大廳(普通)","普通","2","0","57","98","0","0","644","1","0","5","1","0"
"137","石岩之心(普通)","普通","2","0","58","98","0","0","725","1","0","5","1","0"
"138","漩渦尖塔(普通)","普通","2","0","59","98","0","0","657","1","0","5","1","0"
"139","托維爾的失落之城(普通)","普通","2","0","60","98","0","0","755","1","0","5","1","0"
"140","漩渦尖塔(英雄)","英雄","2","0","59","98","0","0","657","2","0","5","1","0"
"141","石岩之心(英雄)","英雄","2","0","58","98","0","0","725","2","0","5","1","0"
"142","起源大廳(英雄)","英雄","2","0","57","98","0","0","644","2","0","5","1","0"
"143","格瑞姆巴托(英雄)","英雄","2","0","56","98","0","0","670","2","0","5","1","0"
"144","黑石洞穴(英雄)","英雄","2","0","55","98","0","0","645","2","0","5","1","0"
"146","海潮王座(英雄)","英雄","2","0","54","98","0","0","643","2","0","5","1","0"
"147","托維爾的失落之城(英雄)","英雄","2","0","60","98","0","0","755","2","0","5","1","0"
"148","死亡礦坑(英雄)","英雄","2","0","5","98","0","0","36","2","0","5","1","0"
"149","影牙城堡(英雄)","英雄","2","0","19","98","0","0","33","2","0","5","1","0"
"150","祖爾格拉布(英雄)","祖爾格拉布","2","0","0","98","0","0","859","2","0","5","1","0"
"151","祖阿曼(英雄)","祖阿曼","2","0","0","98","0","0","568","2","0","5","1","0"
"152","終焉之刻(英雄)","終焉之刻","2","0","0","98","0","0","938","2","0","5","1","0"
"153","永恆之井(英雄)","永恆之井","2","0","0","98","0","0","939","2","0","5","1","0"
"154","暮光之時(英雄)","暮光之時","2","0","0","98","0","0","940","2","0","5","1","0"
"155","玉蛟寺(普通)","普通","2","0","61","98","0","0","960","1","0","5","1","0"
"156","風暴烈酒酒坊(普通)","普通","2","0","62","98","0","0","961","1","0","5","1","0"
"157","影潘僧院(普通)","普通","2","0","63","98","0","0","959","1","0","5","1","0"
"158","魔古山宮(普通)","普通","2","0","64","98","0","0","994","1","0","5","1","0"
"159","圍攻怒兆寺(普通)","普通","2","0","65","98","0","0","1011","1","0","5","1","0"
"160","落陽關(普通)","普通","2","0","66","98","0","0","962","1","0","5","1","0"
"163","玉蛟寺(英雄)","英雄","2","0","61","98","0","0","960","2","0","5","1","0"
"164","風暴烈酒酒坊(英雄)","英雄","2","0","62","98","0","0","961","2","0","5","1","0"
"165","影潘僧院(英雄)","英雄","2","0","63","98","0","0","959","2","0","5","1","0"
"166","魔古山宮(英雄)","英雄","2","0","64","98","0","0","994","2","0","5","1","0"
"167","落陽關(英雄)","英雄","2","0","66","98","0","0","962","2","0","5","1","0"
"168","通靈學院(英雄)","英雄","2","0","18","98","0","0","1007","1","0","5","1","0"
"169","血色修道院(英雄)","英雄","2","0","31","98","0","0","1004","2","0","5","1","0"
"170","血色大廳(英雄)","英雄","2","0","30","98","0","0","1001","2","0","5","1","0"
"171","圍攻怒兆寺(英雄)","英雄","2","0","65","98","0","0","1011","2","0","5","1","0"
"172","霜火峰","霜火峰","1","0","68","258","0","0","0","0","6720","0","4","0"
"173","影月谷(德拉諾)","影月谷","1","0","68","258","0","0","0","0","6719","0","4","0"
"174","格古隆德","格古隆德","1","0","68","258","0","0","0","0","6721","0","4","0"
"175","塔拉多爾","塔拉多爾","1","0","68","258","0","0","0","0","6662","0","4","0"
"176","阿拉卡山","阿拉卡山","1","0","68","258","0","0","0","0","6722","0","4","0"
"177","納葛蘭(德拉諾)","納葛蘭","1","0","68","258","0","0","0","0","6755","0","4","0"
"179","血槌熔渣礦場(挑戰)","挑戰","2","4","6","99","0","0","1175","8","0","5","1","0"
"180","鋼鐵碼頭(挑戰)","挑戰","2","4","7","99","0","0","1195","8","0","5","1","0"
"181","奧齊頓(挑戰)","挑戰","2","4","8","99","0","0","1182","8","0","5","1","0"
"182","擎天峰(挑戰)","挑戰","2","4","9","99","0","0","1209","8","0","5","1","0"
"183","恐軌車站(挑戰)","挑戰","2","4","10","99","0","0","1208","8","0","5","1","0"
"184","永茂林(挑戰)","挑戰","2","4","11","99","0","0","1279","8","0","5","1","0"
"185","影月墓地(挑戰)","挑戰","2","4","12","99","0","0","1176","8","0","5","1","0"
"186","黑石塔上層(挑戰)","挑戰","2","4","13","99","0","0","1358","8","0","5","1","0"
"187","新地精區","新地精區","1","0","2","258","0","0","0","0","6457","0","4","0"
"188","寒脊山谷","寒脊山谷","1","0","2","258","0","0","0","0","6176","0","4","0"
"189","北郡","北郡","1","0","2","258","0","0","0","0","6170","0","4","0"
"190","吉爾尼斯城","吉爾尼斯城","1","0","2","258","0","0","0","0","5435","0","4","0"
"191","逐日者之島","逐日者之島","1","0","2","258","0","0","0","0","6455","0","4","0"
"192","喪鐘鎮","喪鐘鎮","1","0","2","258","0","0","0","0","6454","0","4","0"
"193","丹莫洛","丹莫洛","1","0","2","258","0","0","0","0","1","0","4","0"
"194","提里斯法林地","提里斯法林地","1","0","2","258","0","0","0","0","85","0","4","0"
"195","永歌森林","永歌森林","1","0","2","258","0","0","0","0","3430","0","4","0"
"196","艾爾文森林","艾爾文森林","1","0","2","258","0","0","0","0","12","0","4","0"
"197","吉爾尼斯","吉爾尼斯","1","0","2","258","0","0","0","0","4714","0","4","0"
"198","洛克莫丹","洛克莫丹","1","0","2","258","0","0","0","0","38","0","4","0"
"199","鬼魂之地","鬼魂之地","1","0","2","258","0","0","0","0","3433","0","4","0"
"200","銀松森林","銀松森林","1","0","2","258","0","0","0","0","130","0","4","0"
"201","吉爾尼斯廢墟","吉爾尼斯廢墟","1","0","2","258","0","0","0","0","4706","0","4","0"
"202","赤脊山","赤脊山","1","0","2","258","0","0","0","0","44","0","4","0"
"203","濕地","濕地","1","0","2","258","0","0","0","0","11","0","4","0"
"204","暮色森林","暮色森林","1","0","2","258","0","0","0","0","10","0","4","0"
"205","希爾斯布萊德丘陵","希爾斯布萊德丘陵","1","0","2","258","0","0","0","0","267","0","4","0"
"206","阿拉希高地","阿拉希高地","1","0","2","258","0","0","0","0","45","0","4","0"
"207","北荊棘谷","北荊棘谷","1","0","2","258","0","0","0","0","33","0","4","0"
"208","荊棘谷海角","荊棘谷海角","1","0","2","258","0","0","0","0","5287","0","4","0"
"209","辛特蘭","辛特蘭","1","0","2","258","0","0","0","0","47","0","4","0"
"210","荊棘谷","荊棘谷","1","0","2","258","0","0","0","0","5339","0","4","0"
"211","西瘟疫之地","西瘟疫之地","1","0","2","258","0","0","0","0","28","0","4","0"
"212","燃燒平原","燃燒平原","1","0","2","258","0","0","0","0","46","0","4","0"
"213","灼熱峽谷","灼熱峽谷","1","0","2","258","0","0","0","0","51","0","4","0"
"214","荒蕪之地","荒蕪之地","1","0","2","258","0","0","0","0","3","0","4","0"
"215","東瘟疫之地","東瘟疫之地","1","0","2","258","0","0","0","0","139","0","4","0"
"217","暮光高地","暮光高地","1","0","2","258","0","0","0","0","4922","0","4","0"
"219","瓦許伊爾","瓦許伊爾","1","0","2","258","0","0","0","0","5146","0","4","0"
"221","奎爾達納斯之島","奎爾達納斯之島","1","0","2","258","0","0","0","0","4080","0","4","0"
"222","詛咒之地","詛咒之地","1","0","2","258","0","0","0","0","4","0","4","0"
"223","瘟疫之地：血色領區","瘟疫之地：血色領區","1","0","2","258","0","0","0","0","4298","0","4","0"
"224","悲傷沼澤","悲傷沼澤","1","0","2","258","0","0","0","0","8","0","4","0"
"225","逆風小徑","逆風小徑","1","0","2","258","0","0","0","0","41","0","4","0"
"226","黑石山","黑石山","1","0","2","258","0","0","0","0","1445","0","4","0"
"227","幽影谷","幽影谷","1","0","3","258","0","0","0","0","6450","0","4","0"
"228","安曼谷","安曼谷","1","0","3","258","0","0","0","0","6456","0","4","0"
"229","試煉谷","試煉谷","1","0","3","258","0","0","0","0","6451","0","4","0"
"230","回音群島","回音群島","1","0","3","258","0","0","0","0","6453","0","4","0"
"231","納拉其營地","納拉其營地","1","0","3","258","0","0","0","0","6452","0","4","0"
"232","藍謎島","藍謎島","1","0","3","258","0","0","0","0","3524","0","4","0"
"234","莫高雷","莫高雷","1","0","3","258","0","0","0","0","215","0","4","0"
"235","杜洛塔","杜洛塔","1","0","3","258","0","0","0","0","14","0","4","0"
"236","黑海岸","黑海岸","1","0","3","258","0","0","0","0","148","0","4","0"
"237","血謎島","血謎島","1","0","3","258","0","0","0","0","3525","0","4","0"
"238","北貧瘠之地","北貧瘠之地","1","0","3","258","0","0","0","0","17","0","4","0"
"239","塔納利斯","塔納利斯","1","0","3","258","0","0","0","0","440","0","4","0"
"240","千針石林","千針石林","1","0","3","258","0","0","0","0","400","0","4","0"
"241","菲拉斯","菲拉斯","1","0","3","258","0","0","0","0","357","0","4","0"
"242","塵泥沼澤","塵泥沼澤","1","0","3","258","0","0","0","0","6463","0","4","0"
"243","淒涼之地","淒涼之地","1","0","3","258","0","0","0","0","405","0","4","0"
"244","南貧瘠之地","南貧瘠之地","1","0","3","258","0","0","0","0","4709","0","4","0"
"245","石爪山脈","石爪山脈","1","0","3","258","0","0","0","0","406","0","4","0"
"246","梣谷","梣谷","1","0","3","258","0","0","0","0","331","0","4","0"
"247","月光林地","月光林地","1","0","3","258","0","0","0","0","493","0","4","0"
"248","艾薩拉","艾薩拉","1","0","3","258","0","0","0","0","16","0","4","0"
"249","熔岩前線","熔岩前線","1","0","3","258","0","0","0","0","5733","0","4","0"
"250","奧丹姆","奧丹姆","1","0","3","258","0","0","0","0","5034","0","4","0"
"251","海加爾山","海加爾山","1","0","3","258","0","0","0","0","616","0","4","0"
"252","希利蘇斯","希利蘇斯","1","0","3","258","0","0","0","0","1377","0","4","0"
"253","冬泉谷","冬泉谷","1","0","3","258","0","0","0","0","618","0","4","0"
"254","安戈洛環形山","安戈洛環形山","1","0","3","258","0","0","0","0","490","0","4","0"
"255","費伍德森林","費伍德森林","1","0","3","258","0","0","0","0","361","0","4","0"
"256","地獄火半島","地獄火半島","1","0","69","258","0","0","0","0","3483","0","4","0"
"257","贊格沼澤","贊格沼澤","1","0","69","258","0","0","0","0","3521","0","4","0"
"258","泰洛卡森林","泰洛卡森林","1","0","69","258","0","0","0","0","3519","0","4","0"
"259","納葛蘭","納葛蘭","1","0","69","258","0","0","0","0","3518","0","4","0"
"260","劍刃山脈","劍刃山脈","1","0","69","258","0","0","0","0","3522","0","4","0"
"261","虛空風暴","虛空風暴","1","0","69","258","0","0","0","0","3523","0","4","0"
"262","影月谷","影月谷","1","0","69","258","0","0","0","0","3520","0","4","0"
"263","北風凍原","北風凍原","1","0","70","258","0","0","0","0","3537","0","4","0"
"264","凜風峽灣","凜風峽灣","1","0","70","258","0","0","0","0","495","0","4","0"
"265","龍骨荒野","龍骨荒野","1","0","70","258","0","0","0","0","65","0","4","0"
"266","灰白之丘","灰白之丘","1","0","70","258","0","0","0","0","394","0","4","0"
"267","休拉薩盆地","休拉薩盆地","1","0","70","258","0","0","0","0","3711","0","4","0"
"268","祖爾德拉克","祖爾德拉克","1","0","70","258","0","0","0","0","66","0","4","0"
"269","寒冰皇冠","寒冰皇冠","1","0","70","258","0","0","0","0","210","0","4","0"
"270","風暴群山","風暴群山","1","0","70","258","0","0","0","0","67","0","4","0"
"271","赫魯斯加臺地","赫魯斯加臺地","1","0","70","258","0","0","0","0","4742","0","4","0"
"272","水晶之歌森林","水晶之歌森林","1","0","70","258","0","0","0","0","2817","0","4","0"
"273","冬握湖","冬握湖","1","0","70","258","0","0","0","0","4197","0","4","0"
"274","托巴拉德","托巴拉德","1","0","2","258","0","0","0","0","5095","0","4","0"
"275","托巴拉德半島","托巴拉德半島","1","0","2","258","0","0","0","0","5389","0","4","0"
"276","地深之源","地深之源","1","0","3","258","0","0","0","0","5042","0","4","0"
"277","暗月馬戲團島","暗月馬戲團島","1","0","2","258","0","0","0","0","5861","0","4","0"
"278","凱贊","凱贊","1","0","3","258","0","0","0","0","4737","0","4","0"
"279","失落群島","失落群島","1","0","3","258","0","0","0","0","4707","0","4","0"
"280","漂流島","漂流島","1","0","71","258","0","0","0","0","5736","0","4","0"
"281","翠玉林","翠玉林","1","0","71","258","0","0","0","0","5785","0","4","0"
"282","喀撒朗蠻荒","喀撒朗蠻荒","1","0","71","258","0","0","0","0","6134","0","4","0"
"283","崑萊峰","崑萊峰","1","0","71","258","0","0","0","0","5841","0","4","0"
"284","四風峽","四風峽","1","0","71","258","0","0","0","0","5805","0","4","0"
"285","朦朧天梯","朦朧天梯","1","0","71","258","0","0","0","0","6006","0","4","0"
"286","螳螂荒原","螳螂荒原","1","0","71","258","0","0","0","0","5842","0","4","0"
"287","悚然荒野","悚然荒野","1","0","71","258","0","0","0","0","6138","0","4","0"
"288","巨獸島","巨獸島","1","0","71","258","0","0","0","0","6661","0","4","0"
"289","恆春谷","恆春谷","1","0","71","258","0","0","0","0","5840","0","4","0"
"290","雷王島","雷王島","1","0","71","258","0","0","0","0","6507","0","4","0"
"291","永恆之島","永恆之島","1","0","71","258","0","0","0","0","6757","0","4","0"
"293","黑翼之巢","黑翼之巢","3","0","0","34","0","0","469","9","0","40","0","0"
"294","安其拉廢墟","安其拉廢墟","3","0","0","34","0","0","509","3","0","10","0","0"
"295","安其拉神廟","安其拉神廟","3","0","0","34","0","0","531","9","0","40","0","0"
"296","戈魯爾之巢","戈魯爾之巢","3","0","0","34","0","0","565","4","0","25","0","0"
"297","瑪瑟里頓的巢穴","瑪瑟里頓的巢穴","3","0","0","34","0","0","544","4","0","25","0","0"
"298","毒蛇神殿洞穴","毒蛇神殿洞穴","3","0","0","34","0","0","548","4","0","25","0","0"
"299","風暴要塞","風暴要塞","3","0","0","34","0","0","550","4","0","25","0","0"
"300","黑暗神廟","黑暗神廟","3","0","0","34","0","0","564","14","0","30","0","0"
"301","太陽之井","太陽之井","3","0","0","34","0","0","580","4","0","25","0","0"
"303","奧杜亞","奧杜亞","3","0","0","35","0","0","603","14","0","30","0","0"
"304","十字軍試煉(普通10人)","普通10人","3","0","73","35","0","0","649","3","0","10","0","0"
"305","十字軍試煉(英雄10人)","英雄10人","3","0","73","35","0","0","649","5","0","10","0","0"
"306","十字軍試煉(普通25人)","普通25人","3","0","73","35","0","0","649","4","0","25","0","0"
"307","十字軍試煉(英雄25人)","英雄25人","3","0","73","35","0","0","649","6","0","25","0","0"
"308","晶紅聖所(普通10人)","普通10人","3","0","74","35","0","0","724","3","0","10","0","0"
"309","晶紅聖所(英雄10人)","英雄10人","3","0","74","35","0","0","724","5","0","10","0","0"
"310","晶紅聖所(普通25人)","普通25人","3","0","74","35","0","0","724","4","0","25","0","0"
"311","晶紅聖所(英雄25人)","英雄25人","3","0","74","35","0","0","724","6","0","25","0","0"
"313","黑翼陷窟(普通10人)","普通10人","3","0","75","35","0","0","669","3","0","10","0","0"
"316","黑翼陷窟(普通25人)","普通25人","3","0","75","35","0","0","669","4","0","25","0","0"
"317","黑翼陷窟(英雄10人)","英雄10人","3","0","75","35","0","0","669","5","0","10","0","0"
"318","黑翼陷窟(英雄25人)","英雄25人","3","0","75","35","0","0","669","6","0","25","0","0"
"319","暮光堡壘(普通10人)","普通10人","3","0","76","35","0","0","671","3","0","10","0","0"
"320","暮光堡壘(英雄10人)","英雄10人","3","0","76","35","0","0","671","5","0","10","0","0"
"321","暮光堡壘(英雄25人)","英雄25人","3","0","76","35","0","0","671","6","0","25","0","0"
"322","暮光堡壘(普通25人)","普通25人","3","0","76","35","0","0","671","4","0","25","0","0"
"323","四風王座(普通10人)","普通10人","3","0","77","35","0","0","754","3","0","10","0","0"
"324","四風王座(英雄10人)","英雄10人","3","0","77","35","0","0","754","5","0","10","0","0"
"325","四風王座(英雄25人)","英雄25人","3","0","77","35","0","0","754","6","0","25","0","0"
"326","四風王座(普通25人)","普通25人","3","0","77","35","0","0","754","4","0","25","0","0"
"331","巨龍之魂(普通10人)","普通10人","3","0","79","35","0","0","967","3","0","10","0","0"
"332","巨龍之魂(英雄10人)","英雄10人","3","0","79","35","0","0","967","5","0","10","0","0"
"333","巨龍之魂(英雄25人)","英雄25人","3","0","79","35","0","0","967","6","0","25","0","0"
